dynasty_id,dynasty,reignTitle,monarch,monarchName,beginYear,endYear,label,uri
晋,晋,永兴,惠帝,司马衷,305,306,晋永兴,http://data.library.sh.cn/authority/temporal/ai1u5v1y8x8lde2a
晋,晋,建武,惠帝,司马衷,305,305,晋建武,http://data.library.sh.cn/authority/temporal/2n8poc112lr2vvpg
晋,晋,光熙,惠帝,司马衷,306,306,晋光熙,http://data.library.sh.cn/authority/temporal/71slyg7nwze6mx3e
汉,汉,晏平,,李雄,306,310,成晏平,http://data.library.sh.cn/authority/temporal/uiza4e999i3l77ck
晋,晋,永嘉,怀帝,司马炽,307,313,晋永嘉,http://data.library.sh.cn/authority/temporal/aagevrihgqfr1ef9
汉,汉,永凤,,刘渊,308,308,汉永凤,http://data.library.sh.cn/authority/temporal/1fcbe2zwhx7gh73v
汉,汉,河瑞,,刘渊,309,310,汉河瑞,http://data.library.sh.cn/authority/temporal/j4q42p1f5pv9fvjl
汉,汉,光兴,,刘聪,310,311,汉光兴,http://data.library.sh.cn/authority/temporal/wmtjwzvi6b3oz3g7
汉,汉,玉衡,,李雄,311,335,成玉衡,http://data.library.sh.cn/authority/temporal/y4c39xrxswqvx5ju
汉,汉,嘉平,,刘聪,311,315,汉嘉平,http://data.library.sh.cn/authority/temporal/pf2bgvp68gs5p5h1
晋,晋,建兴,愍帝,司马邺,313,316,晋建兴,http://data.library.sh.cn/authority/temporal/a13o1e75y5u5mb6d
汉,汉,建元,,刘聪,315,316,汉建元,http://data.library.sh.cn/authority/temporal/o53tkh3cn83dc3gy
汉,汉,麟嘉,,刘聪,316,318,汉麟嘉,http://data.library.sh.cn/authority/temporal/f9n7hrtg4w4ss4th
东晋,东晋,,,,317,420,东晋,http://data.library.sh.cn/authority/temporal/21lxcapqduaqmaif
东晋,东晋,建武,元帝,司马睿,317,318,东晋建武,http://data.library.sh.cn/authority/temporal/sorb1srfi8kq7e5t
前凉,前凉,建兴,,张寔,317,353,前凉建兴,http://data.library.sh.cn/authority/temporal/41ovxofa6fhtmk5w
汉,汉,光初,,刘曜,318,329,汉光初,http://data.library.sh.cn/authority/temporal/npg32tdmgckm8lhx
