issues,dynasty,reignTitle,monarch,monarchName,begin,end,label,uri
C:1yr-span,渤海,太始,,大明忠,818,818,渤海太始,http://data.library.sh.cn/authority/temporal/hotph8pnahwwtdwk
C:1yr-span,,罗平,,裘甫,860,860,罗平,http://data.library.sh.cn/authority/temporal/cfmys5a6yw7t16rf
C:1yr-span,,建贞,,李煴,886,886,建贞,http://data.library.sh.cn/authority/temporal/g7ij32r4w8plqm77
C:1yr-span,唐,文德,僖宗,李儇,888,888,唐文德,http://data.library.sh.cn/authority/temporal/hkd6xm7ebqnzic2f
C:1yr-span,唐,龙纪,昭宗,李晔,889,889,唐龙纪,http://data.library.sh.cn/authority/temporal/aexcemxi76u32762
F2:split-span(907~919),吴,天祐,,杨渥,905,907,吴天祐,http://data.library.sh.cn/authority/temporal/9re19pl2w2hiwg7s
E:missing-year,渤海,,,大諲譔,907,,渤海,http://data.library.sh.cn/authority/temporal/kuvnpho9wvo4azic
F2:split-span(905~907),吴,天祐,,杨渥,907,919,吴天祐,http://data.library.sh.cn/authority/temporal/3nm1usbwxwlw59h1
C:1yr-span,前蜀,天复,,王建,907,907,前蜀天复,http://data.library.sh.cn/authority/temporal/llp6bmh7og9cau3t
C:1yr-span,吴越,天祐,,钱镠,907,907,吴越天祐,http://data.library.sh.cn/authority/temporal/i2jly75ek5qrskd6
F2:split-span(914~915),闽,乾化,,王审知,911,912,闽乾化,http://data.library.sh.cn/authority/temporal/9faq4n3lg6q5w2zr
C:1yr-span,吴越,凤历,,钱镠,913,913,吴越凤历,http://data.library.sh.cn/authority/temporal/rjgha3lp1bianyuw
F2:split-span(911~912),闽,乾化,,王审知,914,915,闽乾化,http://data.library.sh.cn/authority/temporal/vpevn7dljt8gkz4r
C:1yr-span,前蜀,通正,,王建,916,916,前蜀通正,http://data.library.sh.cn/authority/temporal/thhs5y6zd9g7jayh
C:1yr-span,前蜀,天汉,,王建,917,917,前蜀天汉,http://data.library.sh.cn/authority/temporal/a2g8ete1xhqvely2
C:1yr-span,南诏,贞祐？,,郑仁旻,921,921,南诏贞祐？,http://data.library.sh.cn/authority/temporal/4dqzjs52i7mqa2ir
C:1yr-span,南诏,,,郑仁旻,926,926,南诏,http://data.library.sh.cn/authority/temporal/2qfjzr26n4jm7csv
E:missing-year,前蜀,咸康,,王衍,925,,前蜀咸康,http://data.library.sh.cn/authority/temporal/n3bv41hw1hoihwy8
C:1yr-span,南诏,天应,,郑隆亶,927,927,南诏天应,http://data.library.sh.cn/authority/temporal/73zu8nlqmgd8tbzk
C:1yr-span,南平,大和,,高从诲,930,930,荆南大和,http://data.library.sh.cn/authority/temporal/inkwf7t6sdf89yqb
C:1yr-span,南诏,兴圣,大义宁,杨干真,930,930,南诏兴圣,http://data.library.sh.cn/authority/temporal/vuu9dcpjygbuvpgm
C:1yr-span,吴越,应顺,,钱元瓘,934,934,吴越应顺,http://data.library.sh.cn/authority/temporal/g3ooussxjqpswsgi
C:1yr-span,楚,应顺,,马希範,934,934,楚应顺,http://data.library.sh.cn/authority/temporal/xyt4wmmrxqr1ki8f
C:1yr-span,南平,应顺,,高从诲,934,934,荆南应顺,http://data.library.sh.cn/authority/temporal/3kpww5ak5e4pvtet
F2:split-span(947~947),南平,天福,,高从诲,937,943,荆南天福,http://data.library.sh.cn/authority/temporal/blx2icc6q27q9xv7
F2:split-span(947~947),楚,天福,,马希範,937,943,楚天福,http://data.library.sh.cn/authority/temporal/nrs93gczomxy2y62
C:1yr-span,于阗,永乐,,张遇贤,943,943,于阗永乐,http://data.library.sh.cn/authority/temporal/llkgrhqgsoniuuj1
C:1yr-span;F2:split-span(937~943),楚,天福,,马希範,947,947,楚天福,http://data.library.sh.cn/authority/temporal/e647hppyovtxy3tj
C:1yr-span,大理,文经,,段思英,945,945,大理文经,http://data.library.sh.cn/authority/temporal/5iwkunwyu6794sk9
C:1yr-span,吴越,天福,,钱宏倧,947,947,吴越天福,http://data.library.sh.cn/authority/temporal/cd2z96vvtpb213hq
C:1yr-span;F2:split-span(937~943),南平,天福,,高从诲,947,947,荆南天福,http://data.library.sh.cn/authority/temporal/xdhtmo9ur88khdz9
F2:split-span(948~948),南平,乾祐,,高保融,948,950,荆南乾祐,http://data.library.sh.cn/authority/temporal/a6dsbcdz44e1azpi
C:1yr-span;F1:trunc-dup(948~950),南平,乾祐,,高保融,948,948,荆南乾祐,http://data.library.sh.cn/authority/temporal/gu17j6je3677vs2d
E:missing-year,大理,广德,,段思聪,956,,大理广德,http://data.library.sh.cn/authority/temporal/8uv1kezwk7i1n6kq
C:1yr-span,南唐,显德,,李璟,960,960,南唐显德,http://data.library.sh.cn/authority/temporal/n28kep6i1bj7sx7o
C:1yr-span,北宋,乾兴,仁宗,赵祯,1022,1022,北宋乾兴,http://data.library.sh.cn/authority/temporal/7ry8isqvlx32g28q
C:1yr-span,北宋,建中靖国,徽宗,赵佶,1101,1101,北宋建中靖国,http://data.library.sh.cn/authority/temporal/ddao7whehoamgz3z
C:1yr-span,南宋,开庆,理宗,赵昀,1259,1259,南宋开庆,http://data.library.sh.cn/authority/temporal/lda4qw45yme2xzmj
C:1yr-span,元,致和,泰定帝,孛儿只斤也孙铁木耳,1328,1328,元致和,http://data.library.sh.cn/authority/temporal/cnpiv3j8qbauuyxg
C:1yr-span,明,洪熙,仁宗,朱高炽,1425,1425,明洪熙,http://data.library.sh.cn/authority/temporal/5acswdyuw55zd1jp
C:1yr-span,明,泰昌,光宗,朱常洛,1620,1620,明泰昌,http://data.library.sh.cn/authority/temporal/uproyet5mr9xgjp6
C:1yr-span,南明,绍武,唐王,朱聿鐭,1646,1646,南明绍武,http://data.library.sh.cn/authority/temporal/fia9nu7gybdigs9o
C:1yr-span;B:ancient-name-AD;F1:trunc-dup(618~621),夏,五凤,,窦建德,618,618,夏五凤,http://data.library.sh.cn/authority/temporal/sh9ichrt69298cka
